content_id,period,age_band,channel,content_type,accessibility_flags,time_of_day,past_engagement_rate_pct,conversion_rate_pct,weekly_ad_spend_gbp,impressions,clicks,conversions,conversion_value_gbp,content_cost_gbp
C001,2025-11,16-24,Web,Video,none,Afternoon,3.77,2.09,153.36,11259,356,7,323.69,139.72
C002,2025-10,45-54,Web,Carousel,captions,Morning,2.86,1.58,109.64,6968,172,3,123.45,102.51
C003,2025-11,35-44,TikTok,Longform,captions,Morning,4.55,1.36,104.54,7136,195,3,71.97,95.2
C004,2025-11,16-24,Instagram,Longform,captions,Evening,6.37,1.55,245.82,19235,911,14,716.6,250.3
C005,2025-10,35-44,Web,Video,alt_text,Morning,3.7,1.7,121.75,8733,190,3,141.58,126.15
C006,2025-11,25-34,Web,Carousel,alt_text,Afternoon,3.89,1.47,70.85,4795,147,2,96.51,69.34
C007,2025-11,25-34,TikTok,Longform,none,Morning,4.54,1.42,159.96,10870,320,5,104.49,154.14
C008,2025-11,55+,Instagram,Longform,captions,Morning,3.21,1.49,158.21,8732,219,3,61.71,158.35
C009,2025-10,25-34,TikTok,Carousel,captions,Morning,4.3,0.96,82.58,6721,232,2,113.48,88.77
C010,2025-10,35-44,Web,Video,captions,Afternoon,2.97,1.68,156.89,9701,236,4,131.56,167.91
C011,2025-10,25-34,Web,Carousel,captions,Evening,4.97,1.85,80.86,4101,120,2,57.09,73.48
C012,2025-11,25-34,Instagram,Video,captions,Morning,5.71,0.88,102.3,6181,307,3,110.96,95.78
C013,2025-11,25-34,Web,Carousel,alt_text,Evening,2.4,1.47,149.9,12392,187,3,134.49,142.01
C014,2025-11,35-44,Email,Video,captions,Morning,3.45,1.55,204.95,10595,206,3,174.01,194.68
C015,2025-10,55+,Instagram,Carousel,captions,Afternoon,3.88,0.76,67.24,5963,172,1,27.89,68.2
C016,2025-10,55+,Instagram,Longform,captions,Morning,4.7,1.3,114.65,6199,198,3,169.85,112.73
C017,2025-11,25-34,Instagram,Video,captions,Afternoon,7.64,0.59,75.78,6066,389,2,32.24,68.95
C018,2025-10,16-24,TikTok,Longform,none,Evening,4.86,1.82,94.01,6871,278,5,199.92,91.63
C019,2025-11,25-34,Instagram,Carousel,none,Afternoon,4.39,0.33,110.04,7466,217,1,43.53,110.56
C020,2025-11,25-34,Instagram,Longform,captions,Evening,6.02,2.15,130.67,10348,550,12,237.18,120.26
C021,2025-11,35-44,Web,Carousel,captions,Morning,3.53,1.76,92.0,6760,156,3,63.95,98.14
C022,2025-10,25-34,Instagram,Carousel,none,Evening,4.16,0.78,20.0,3023,92,1,33.86,18.21
C023,2025-11,16-24,Instagram,Longform,none,Morning,4.72,0.93,129.96,10487,317,3,175.44,141.0
C024,2025-11,55+,Web,Carousel,alt_text,Afternoon,3.33,1.54,171.4,8286,242,4,167.29,157.66
C025,2025-11,55+,Email,Video,captions,Morning,5.86,1.58,169.71,7938,283,4,227.94,181.37
C026,2025-10,25-34,TikTok,Longform,alt_text,Afternoon,4.05,1.2,125.86,5601,128,2,102.39,136.0
C027,2025-10,25-34,TikTok,Video,alt_text,Morning,5.55,0.75,85.66,6520,254,2,72.06,93.88
C028,2025-10,55+,Web,Carousel,none,Morning,2.61,1.37,147.74,9321,218,3,150.94,156.66
C029,2025-10,45-54,TikTok,Video,alt_text,Evening,7.51,0.7,146.04,7019,454,3,47.41,154.2
C030,2025-11,25-34,Instagram,Video,captions,Evening,8.01,0.41,27.17,5545,361,1,19.91,27.94
C031,2025-11,16-24,Instagram,Video,none,Evening,8.43,0.41,142.37,6779,492,2,104.65,150.31
C032,2025-11,16-24,TikTok,Video,alt_text,Evening,7.83,0.4,50.13,3750,254,1,50.86,46.47
C033,2025-10,45-54,Email,Video,none,Morning,1.53,2.11,92.15,5741,64,1,25.47,92.81
C034,2025-10,25-34,Instagram,Carousel,alt_text,Afternoon,6.3,0.89,131.4,7759,323,3,116.65,131.77
C035,2025-10,25-34,TikTok,Carousel,alt_text,Morning,4.98,0.92,110.47,6084,249,2,84.54,118.37
C036,2025-10,16-24,Instagram,Longform,captions,Evening,4.51,1.27,90.54,6474,228,3,162.14,89.87
C037,2025-10,35-44,Email,Video,captions,Afternoon,2.93,1.61,136.37,7921,158,3,126.42,133.24
C038,2025-10,16-24,Web,Carousel,none,Morning,3.37,1.24,151.44,6721,132,2,67.13,155.67
C039,2025-10,35-44,Web,Carousel,captions,Evening,3.32,1.11,167.28,7678,207,2,63.68,159.47
C040,2025-11,35-44,Web,Video,captions,Morning,3.62,2.51,116.58,10270,239,6,204.99,108.18
C041,2025-10,55+,Web,Carousel,none,Afternoon,3.33,1.43,100.26,8565,250,4,177.35,99.82
C042,2025-11,55+,Email,Video,alt_text,Afternoon,5.36,1.52,64.57,4919,167,3,162.11,63.5
C043,2025-11,55+,Instagram,Video,captions,Afternoon,5.14,1.41,122.87,6548,200,3,106.28,116.3
C044,2025-10,25-34,Instagram,Longform,none,Afternoon,4.55,1.12,106.8,9447,362,4,104.61,103.97
C045,2025-11,35-44,Web,Carousel,none,Afternoon,2.48,1.66,198.41,15661,234,4,102.6,193.11
C046,2025-11,25-34,Web,Video,alt_text,Evening,5.49,1.57,24.97,7626,257,4,194.28,24.11
C047,2025-10,25-34,TikTok,Video,alt_text,Evening,9.27,0.84,79.94,4993,352,3,155.24,78.01
C048,2025-10,35-44,Email,Longform,captions,Afternoon,4.08,2.0,131.96,7074,247,5,98.69,136.86
C049,2025-11,25-34,TikTok,Longform,captions,Afternoon,4.97,0.87,97.58,5253,161,1,18.0,93.62
C050,2025-10,35-44,Email,Carousel,alt_text,Evening,3.11,0.71,45.78,4840,99,1,41.75,49.89
C051,2025-10,16-24,Email,Video,none,Morning,3.69,1.34,116.88,7338,223,3,64.73,126.61
C052,2025-10,16-24,Email,Longform,captions,Evening,2.11,2.36,135.35,6783,127,3,156.33,134.83
C053,2025-11,55+,Email,Video,alt_text,Afternoon,2.87,1.48,112.86,7722,161,2,57.93,108.99
C054,2025-11,16-24,Email,Carousel,none,Morning,4.76,1.88,139.83,9642,276,5,107.37,140.82
C055,2025-11,55+,Email,Video,captions,Morning,3.51,2.11,123.76,6044,118,2,112.89,132.39
C056,2025-11,16-24,Email,Video,captions,Evening,4.12,2.2,169.81,14065,365,8,179.59,174.99
C057,2025-10,35-44,Email,Carousel,alt_text,Evening,4.04,1.33,63.14,7098,171,2,55.62,66.98
C058,2025-11,25-34,TikTok,Carousel,captions,Evening,6.56,1.41,131.92,10022,517,7,153.39,132.78
C059,2025-10,45-54,Instagram,Longform,captions,Afternoon,3.15,1.37,114.17,7033,132,2,40.39,117.21
C060,2025-10,45-54,TikTok,Carousel,none,Afternoon,1.7,0.65,134.87,9625,119,1,15.95,129.16
